kalman_q_price,kalman_q_vel,kalman_r,entry_threshold,exit_threshold,stop_loss_pct,start_time,end_time,duration,total_bars,trade_count,initial_market_value,end_market_value,total_pnl,unrealized_pnl,total_return_pct,annualized_return,volatility,total_profit,total_loss,total_commission,max_drawdown,max_drawdown_pct,win_rate,loss_rate,winning_trades,losing_trades,avg_pnl,avg_return_pct,avg_trade_bars,avg_profit,avg_profit_pct,avg_winning_trade_bars,avg_loss,avg_loss_pct,avg_losing_trade_bars,largest_win,largest_win_pct,largest_win_bars,largest_loss,largest_loss_pct,largest_loss_bars,max_wins,max_losses,sharpe_ratio,sortino_ratio,profit_factor,ulcer_index,upi,equity_r2,std_error,calmar_ratio,exposure_time_pct,var_95,var_99,cvar_95,cvar_99,sqn,kelly_criterion,max_leverage,min_margin_level,_duration,error,total_return
1e-05,1e-06,0.001,0.01,0.005,0.05,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.6238369941711426,,
1e-05,1e-06,0.001,0.01,0.005,0.08,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.9350268840789795,,
1e-05,1e-05,0.01,0.01,0.005,0.03,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.6845698356628418,,
1e-05,1e-05,0.01,0.01,0.005,0.05,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.7546930313110352,,
1e-05,1e-05,0.01,0.01,0.005,0.08,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.850639820098877,,
1e-05,0.0001,0.1,0.01,0.005,0.03,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.737236499786377,,
1e-05,0.0001,0.1,0.01,0.005,0.05,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.73419189453125,,
1e-05,0.0001,0.1,0.01,0.005,0.08,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.7068030834197998,,
0.0001,1e-05,0.01,0.01,0.005,0.03,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.7011735439300537,,
0.0001,1e-05,0.01,0.01,0.005,0.05,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,5.0,100000.0,105190.2934,-4916.0,10846.0,5.1902934,0.10152760048975984,0.1686876911269191,3231.0,-8147.0,739.7066,10452.8875,9.97182588774897,20.0,80.0,1.0,4.0,-983.2,-1.1155107338670514,4.4,3231.0,3.617857502771339,4.0,-2036.75,-2.298852793026649,4.5,3231.0,3.617857502771339,4.0,-2792.0,-3.338435048785154,2.0,1.0,4.0,0.6018672720665279,1.1189213807147882,0.396587700994231,0.05495595774964132,1.8474357403119315,0.25238696035379105,2367.882670409685,1.0181445367441988,24.6031746031746,-0.01502515527236338,-0.023504579503444298,-0.019676666813188543,-0.02783878790405951,-1.0234623280645125,-0.3043020736614051,0.9595562169997712,1.0421484247443924,0.6234133243560791,,
